Month,ProductID,RetailPartner,AdjustedQty,InventoryQty,CompanyTransportCapacity,CompanyWarehouseCapacity,Description,PackSize,RequestedQtyPct,InventoryUtilizationPct,ProportionalAllocation,AllocationFlag
2025-12-01,P0001,RetailPartner4,6,117,200,30,Product 1 description,20,16.216216216216218,31.623931623931625,3.1621621621621623,1
2025-05-01,P0002,RetailPartner1,163,277,900,400,Product 2 description,50,47.66081871345029,123.46570397111914,0.8099415204678363,1
2025-06-01,P0002,RetailPartner1,51,243,500,300,Product 2 description,50,37.77777777777778,55.55555555555556,1.8,1
2025-07-01,P0002,RetailPartner1,30,173,450,120,Product 2 description,50,37.9746835443038,45.664739884393065,2.189873417721519,1
2025-08-01,P0002,RetailPartner1,50,143,720,200,Product 2 description,50,16.666666666666668,209.7902097902098,0.4766666666666667,1
2025-09-01,P0002,RetailPartner1,-2,69,100,50,Product 2 description,50,200.0,-1.4492753623188406,-69.0,0
2025-10-01,P0002,RetailPartner1,7,63,100,10,Product 2 description,50,33.333333333333336,33.333333333333336,3.0,1
2025-11-01,P0002,RetailPartner1,-1,105,100,10,Product 2 description,50,25.0,-3.8095238095238093,-26.25,0
2025-12-01,P0002,RetailPartner1,16,113,200,100,Product 2 description,50,30.18867924528302,46.902654867256636,2.1320754716981134,1
2025-05-01,P0002,RetailPartner2,161,277,900,400,Product 2 description,50,47.07602339181287,123.46570397111914,0.8099415204678363,1
2025-06-01,P0002,RetailPartner2,61,243,500,250,Product 2 description,50,45.18518518518518,55.55555555555556,1.8,1
2025-07-01,P0002,RetailPartner2,32,173,450,160,Product 2 description,50,40.50632911392405,45.664739884393065,2.189873417721519,1
2025-08-01,P0002,RetailPartner2,50,143,720,190,Product 2 description,50,16.666666666666668,209.7902097902098,0.4766666666666667,1
2025-09-01,P0002,RetailPartner2,2,69,100,20,Product 2 description,50,-200.0,-1.4492753623188406,-69.0,1
2025-10-01,P0002,RetailPartner2,10,63,100,10,Product 2 description,50,47.61904761904762,33.333333333333336,3.0,1
2025-11-01,P0002,RetailPartner2,0,105,100,10,Product 2 description,50,-0.0,-3.8095238095238093,-26.25,0
2025-12-01,P0002,RetailPartner2,29,113,200,100,Product 2 description,50,54.716981132075475,46.902654867256636,2.1320754716981134,1
2025-05-01,P0002,RetailPartner3,11,277,900,100,Product 2 description,50,3.216374269005848,123.46570397111914,0.8099415204678363,1
2025-06-01,P0002,RetailPartner3,6,243,500,50,Product 2 description,50,4.444444444444445,55.55555555555556,1.8,1
2025-07-01,P0002,RetailPartner3,6,173,450,30,Product 2 description,50,7.594936708860759,45.664739884393065,2.189873417721519,1
2025-08-01,P0002,RetailPartner3,100,143,720,170,Product 2 description,50,33.333333333333336,209.7902097902098,0.4766666666666667,1
2025-09-01,P0002,RetailPartner3,2,69,100,20,Product 2 description,50,-200.0,-1.4492753623188406,-69.0,1
2025-10-01,P0002,RetailPartner3,4,63,100,20,Product 2 description,50,19.047619047619047,33.333333333333336,3.0,1
2025-11-01,P0002,RetailPartner3,-8,105,100,20,Product 2 description,50,200.0,-3.8095238095238093,-26.25,0
2025-12-01,P0002,RetailPartner3,5,113,200,20,Product 2 description,50,9.433962264150944,46.902654867256636,2.1320754716981134,1
2025-05-01,P0002,RetailPartner4,7,277,900,50,Product 2 description,50,2.046783625730994,123.46570397111914,0.8099415204678363,1
2025-06-01,P0002,RetailPartner4,17,243,500,70,Product 2 description,50,12.592592592592593,55.55555555555556,1.8,1
2025-07-01,P0002,RetailPartner4,11,173,450,40,Product 2 description,50,13.924050632911392,45.664739884393065,2.189873417721519,1
2025-08-01,P0002,RetailPartner4,100,143,720,170,Product 2 description,50,33.333333333333336,209.7902097902098,0.4766666666666667,1
2025-09-01,P0002,RetailPartner4,-3,69,100,20,Product 2 description,50,300.0,-1.4492753623188406,-69.0,0
2025-10-01,P0002,RetailPartner4,0,63,100,20,Product 2 description,50,0.0,33.333333333333336,3.0,0
2025-11-01,P0002,RetailPartner4,5,105,100,20,Product 2 description,50,-125.0,-3.8095238095238093,-26.25,1
2025-12-01,P0002,RetailPartner4,3,113,200,30,Product 2 description,50,5.660377358490566,46.902654867256636,2.1320754716981134,1
2025-05-01,P0003,RetailPartner1,67,302,900,400,Product 3 description,10,48.55072463768116,45.6953642384106,2.1884057971014492,1
2025-06-01,P0003,RetailPartner1,57,249,500,300,Product 3 description,10,49.13793103448276,46.5863453815261,2.146551724137931,1
2025-07-01,P0003,RetailPartner1,41,214,450,120,Product 3 description,10,41.83673469387755,45.794392523364486,2.183673469387755,1
2025-08-01,P0003,RetailPartner1,8,134,720,200,Product 3 description,10,25.0,23.880597014925375,4.1875,1
2025-09-01,P0003,RetailPartner1,7,102,100,50,Product 3 description,10,100.0,6.862745098039215,14.571428571428571,1
2025-10-01,P0003,RetailPartner1,-3,76,100,10,Product 3 description,10,-37.5,10.526315789473685,9.5,0
2025-11-01,P0003,RetailPartner1,2,85,100,10,Product 3 description,10,10.0,23.529411764705884,4.25,1
2025-12-01,P0003,RetailPartner1,24,122,200,100,Product 3 description,10,46.15384615384615,42.622950819672134,2.3461538461538463,1
2025-05-01,P0003,RetailPartner2,61,302,900,400,Product 3 description,10,44.20289855072464,45.6953642384106,2.1884057971014492,1
2025-06-01,P0003,RetailPartner2,50,249,500,250,Product 3 description,10,43.10344827586207,46.5863453815261,2.146551724137931,1
2025-07-01,P0003,RetailPartner2,54,214,450,160,Product 3 description,10,55.10204081632653,45.794392523364486,2.183673469387755,1
2025-08-01,P0003,RetailPartner2,10,134,720,190,Product 3 description,10,31.25,23.880597014925375,4.1875,1
2025-09-01,P0003,RetailPartner2,0,102,100,20,Product 3 description,10,0.0,6.862745098039215,14.571428571428571,0
2025-10-01,P0003,RetailPartner2,1,76,100,10,Product 3 description,10,12.5,10.526315789473685,9.5,1
2025-11-01,P0003,RetailPartner2,10,85,100,10,Product 3 description,10,50.0,23.529411764705884,4.25,1
2025-12-01,P0003,RetailPartner2,18,122,200,100,Product 3 description,10,34.61538461538461,42.622950819672134,2.3461538461538463,1
2025-05-01,P0003,RetailPartner3,4,302,900,100,Product 3 description,10,2.898550724637681,45.6953642384106,2.1884057971014492,1
2025-06-01,P0003,RetailPartner3,1,249,500,50,Product 3 description,10,0.8620689655172413,46.5863453815261,2.146551724137931,1
2025-07-01,P0003,RetailPartner3,0,214,450,30,Product 3 description,10,0.0,45.794392523364486,2.183673469387755,0
2025-08-01,P0003,RetailPartner3,9,134,720,170,Product 3 description,10,28.125,23.880597014925375,4.1875,1
2025-09-01,P0003,RetailPartner3,0,102,100,20,Product 3 description,10,0.0,6.862745098039215,14.571428571428571,0
2025-10-01,P0003,RetailPartner3,10,76,100,20,Product 3 description,10,125.0,10.526315789473685,9.5,1
2025-11-01,P0003,RetailPartner3,0,85,100,20,Product 3 description,10,0.0,23.529411764705884,4.25,0
2025-12-01,P0003,RetailPartner3,3,122,200,20,Product 3 description,10,5.769230769230769,42.622950819672134,2.3461538461538463,1
2025-05-01,P0003,RetailPartner4,6,302,900,50,Product 3 description,10,4.3478260869565215,45.6953642384106,2.1884057971014492,1
2025-06-01,P0003,RetailPartner4,8,249,500,70,Product 3 description,10,6.896551724137931,46.5863453815261,2.146551724137931,1
2025-07-01,P0003,RetailPartner4,3,214,450,40,Product 3 description,10,3.061224489795918,45.794392523364486,2.183673469387755,1
2025-08-01,P0003,RetailPartner4,5,134,720,170,Product 3 description,10,15.625,23.880597014925375,4.1875,1
2025-09-01,P0003,RetailPartner4,0,102,100,20,Product 3 description,10,0.0,6.862745098039215,14.571428571428571,0
2025-10-01,P0003,RetailPartner4,0,76,100,20,Product 3 description,10,0.0,10.526315789473685,9.5,0
2025-11-01,P0003,RetailPartner4,8,85,100,20,Product 3 description,10,40.0,23.529411764705884,4.25,1
2025-12-01,P0003,RetailPartner4,7,122,200,30,Product 3 description,10,13.461538461538462,42.622950819672134,2.3461538461538463,1
2025-05-01,P0004,RetailPartner1,56,290,900,400,Product 4 description,50,35.22012578616352,54.827586206896555,1.8238993710691824,1
2025-06-01,P0004,RetailPartner1,51,267,500,300,Product 4 description,50,35.172413793103445,54.30711610486891,1.8413793103448275,1
2025-07-01,P0004,RetailPartner1,30,176,450,120,Product 4 description,50,38.96103896103896,43.75,2.2857142857142856,1
2025-08-01,P0004,RetailPartner1,14,145,720,200,Product 4 description,50,43.75,22.06896551724138,4.53125,1
2025-09-01,P0004,RetailPartner1,5,100,100,50,Product 4 description,50,250.0,2.0,50.0,1
2025-10-01,P0004,RetailPartner1,-1,81,100,10,Product 4 description,50,-50.0,2.4691358024691357,40.5,0
2025-11-01,P0004,RetailPartner1,7,97,100,10,Product 4 description,50,175.0,4.123711340206185,24.25,1
2025-12-01,P0004,RetailPartner1,14,153,200,100,Product 4 description,50,48.275862068965516,18.954248366013072,5.275862068965517,1
2025-05-01,P0004,RetailPartner2,71,290,900,400,Product 4 description,50,44.65408805031446,54.827586206896555,1.8238993710691824,1
2025-06-01,P0004,RetailPartner2,63,267,500,250,Product 4 description,50,43.44827586206897,54.30711610486891,1.8413793103448275,1
2025-07-01,P0004,RetailPartner2,34,176,450,160,Product 4 description,50,44.15584415584416,43.75,2.2857142857142856,1
2025-08-01,P0004,RetailPartner2,10,145,720,190,Product 4 description,50,31.25,22.06896551724138,4.53125,1
2025-09-01,P0004,RetailPartner2,8,100,100,20,Product 4 description,50,400.0,2.0,50.0,1
2025-10-01,P0004,RetailPartner2,0,81,100,10,Product 4 description,50,0.0,2.4691358024691357,40.5,0
2025-11-01,P0004,RetailPartner2,-5,97,100,10,Product 4 description,50,-125.0,4.123711340206185,24.25,0
2025-12-01,P0004,RetailPartner2,22,153,200,100,Product 4 description,50,75.86206896551724,18.954248366013072,5.275862068965517,1
2025-05-01,P0004,RetailPartner3,15,290,900,100,Product 4 description,50,9.433962264150944,54.827586206896555,1.8238993710691824,1
2025-06-01,P0004,RetailPartner3,19,267,500,50,Product 4 description,50,13.10344827586207,54.30711610486891,1.8413793103448275,1
2025-07-01,P0004,RetailPartner3,5,176,450,30,Product 4 description,50,6.4935064935064934,43.75,2.2857142857142856,1
2025-08-01,P0004,RetailPartner3,1,145,720,170,Product 4 description,50,3.125,22.06896551724138,4.53125,1
2025-09-01,P0004,RetailPartner3,0,100,100,20,Product 4 description,50,0.0,2.0,50.0,0
2025-10-01,P0004,RetailPartner3,0,81,100,20,Product 4 description,50,0.0,2.4691358024691357,40.5,0
2025-11-01,P0004,RetailPartner3,3,97,100,20,Product 4 description,50,75.0,4.123711340206185,24.25,1
2025-12-01,P0004,RetailPartner3,-3,153,200,20,Product 4 description,50,-10.344827586206897,18.954248366013072,5.275862068965517,0
2025-05-01,P0004,RetailPartner4,17,290,900,50,Product 4 description,50,10.69182389937107,54.827586206896555,1.8238993710691824,1
2025-06-01,P0004,RetailPartner4,12,267,500,70,Product 4 description,50,8.275862068965518,54.30711610486891,1.8413793103448275,1
2025-07-01,P0004,RetailPartner4,8,176,450,40,Product 4 description,50,10.38961038961039,43.75,2.2857142857142856,1
2025-08-01,P0004,RetailPartner4,7,145,720,170,Product 4 description,50,21.875,22.06896551724138,4.53125,1
2025-09-01,P0004,RetailPartner4,-11,100,100,20,Product 4 description,50,-550.0,2.0,50.0,0
2025-10-01,P0004,RetailPartner4,3,81,100,20,Product 4 description,50,150.0,2.4691358024691357,40.5,1
2025-11-01,P0004,RetailPartner4,-1,97,100,20,Product 4 description,50,-25.0,4.123711340206185,24.25,0
2025-12-01,P0004,RetailPartner4,-4,153,200,30,Product 4 description,50,-13.793103448275861,18.954248366013072,5.275862068965517,0
